C4烯烃收率,温度,Co/SiO2浓度,Co/SiO2溶液量,HAP浓度,HAP溶液量
0.169458993,375,200,5,200,1.68
0.021490052,375,10,1,10,1.68
0.083983298,369,50,1,50,2.1
0.157576429,395,50,1,50,2.1
0.001496644,262,50,1,50,2.1
0.000204964,310,50,1,90,1.68
0.01285783,255,200,2,200,1.68
0.002810124,286,67,1,33,1.68
0.000145301,274,50,5,20,2.1
0.22626705,398,50,1,50,0.9
-7.96E-06,266,50,5,20,2.1
0.054886384,347,75,1,75,1.68
0.358114802,399,200,1,200,1.68
0.003863593,255,50,1,50,0.9
0.24929671,371,200,0.5,200,1.68
0.26794065,405,50,1,50,0.3
0.416440595,445,200,2,200,0.3
0.0578036,354,50,1,50,1.68
0.049575021,404,10,1,10,1.68
0.003200622,282,100,1,100,1.68
0.00197385,282,33,1,67,1.68
0.372138781,407,200,1,200,1.68
0.000189763,318,50,1,90,1.68
0.031750603,324,100,1,100,0.9
0.000297558,297,50,1,90,1.68
0.073727515,365,50,1,50,2.1
0.069116411,309,200,1,200,0.9
0.238989856,395,100,1,100,0.9
0.124906246,339,200,0.5,200,1.68
0.019465834,325,50,1,50,1.68
-0.000264919,318,50,5,20,2.1
0.074195639,380,50,1,50,2.1
0.140386483,411,33,1,67,1.68
0.135998552,380,75,1,75,1.68
0.057969792,293,200,2,200,1.68
0.373055949,403,200,0.5,200,1.68
0.000642314,264,33,1,67,1.68
0.000704817,256,100,1,100,1.68
0.104678173,361,100,1,100,0.9
0.084451797,351,50,1,50,0.9
0.001916138,268,50,1,50,2.1
0.041615756,427,50,5,20,2.1
0.346364221,384,200,2,200,1.68
0.102040541,427,25,1,25,1.68
0.001939787,275,50,1,50,2.1
0.000818153,333,50,1,90,1.68
0.057301644,358,50,1,50,2.1
0.073050716,366,100,1,100,1.68
0.140110891,370,200,2,200,0.3
0.004004902,304,33,1,67,1.68
0.353078342,417,200,2,200,1.68
0.146220231,373,50,1,50,0.9
0.261489556,446,50,1,50,1.68
0.082561119,360,75,1,75,1.68
0.001347234,338,50,1,90,1.68
0.001386864,312,10,1,10,1.68
0.215131377,418,50,1,50,2.1
0.012638328,313,50,1,50,1.68
0.023223586,268,200,2,200,1.68
0.348223141,395,200,1,200,1.68
0.005008431,264,50,1,50,0.9
0.145986861,420,67,1,33,1.68
0.15347542,347,200,0.5,200,1.68
0.106999521,439,10,1,10,1.68
0.018948959,317,200,5,200,1.68
0.192864506,330,200,2,200,1.68
0.362326477,416,200,2,200,0.3
0.003287428,254,200,2,200,0.3
0.006655879,295,50,1,50,2.1
0.001787166,254,100,1,100,0.9
0.016721196,328,50,1,50,2.1
0.277280248,416,50,1,50,0.9
0.001049381,305,10,1,10,1.68
0.144355181,419,67,1,33,1.68
0.265971723,392,200,5,200,1.68
0.011450137,301,75,1,75,1.68
0.19426498,381,50,1,50,0.3
0.318429146,369,200,2,200,1.68
0.117039548,403,67,1,33,1.68
0.309562182,383,200,1,200,1.68
0.005604485,266,200,5,200,1.68
0.071286294,345,50,1,50,0.9
0.221959717,390,50,1,50,0.3
0.002689304,285,67,1,33,1.68
0.032139634,412,50,1,90,1.68
0.029798132,288,200,1,200,0.9
0.006712721,308,100,1,100,1.68
0.044144538,332,200,2,200,0.3
0.259802739,430,75,1,75,1.68
0.068854921,299,200,1,200,1.68
0.002674301,274,50,1,50,1.68
0.096846669,356,50,1,50,0.9
0.10861,450,25,1,25,1.68
0.046671163,287,200,1,200,1.68
0.239643225,419,75,1,75,1.68
0.355402242,392,200,2,200,1.68
0.254440276,440,100,1,100,1.68
0.015364177,327,67,1,33,1.68
0.237168545,387,200,5,200,1.68
0.004436745,286,50,1,50,1.68
0.007121436,281,100,1,100,0.9
0.008785943,342,25,1,25,1.68
0.008562446,364,50,5,20,2.1
0.001462042,261,50,1,50,2.1
0.011512778,283,200,2,200,0.3
0.004055959,257,50,1,50,0.9
0.012203816,321,67,1,33,1.68
0.057431416,410,10,1,10,1.68
0.086809252,371,100,1,100,1.68
0.000212045,320,50,1,90,1.68
0.26158604,410,50,1,50,0.9
0.282171428,379,200,0.5,200,1.68
0.123344788,367,100,1,100,0.9
0.001390184,269,67,1,33,1.68
0.029060368,368,25,1,25,1.68
0.026751299,272,200,2,200,1.68
0.000726899,295,10,1,10,1.68
0.006283057,359,50,1,90,1.68
0.018640187,343,50,1,50,2.1
0.026061631,381,10,1,10,1.68
0.030599432,409,50,1,90,1.68
0.006452712,279,100,1,100,0.9
0.153910909,391,50,1,50,1.68
0.063901022,373,33,1,67,1.68
0.085779866,303,200,2,200,1.68
0.214729587,390,100,1,100,0.9
0.308173374,419,50,1,50,0.3
0.359624818,408,200,2,200,1.68
0.043983467,440,50,1,90,1.68
0.244547628,430,100,1,100,1.68
0.047675235,310,200,0.5,200,1.68
0.043462928,443,50,5,20,2.1
0.316128822,437,50,1,50,0.9
0.031150867,347,67,1,33,1.68
0.000254238,305,50,1,90,1.68
0.502944039,416,200,1,200,0.9
0.003281659,351,50,5,20,2.1
0.013275854,329,100,1,100,1.68
0.138269809,393,50,1,50,1.68
0.013885656,333,50,1,50,2.1
0.341380375,425,200,2,200,1.68
0.085600943,356,200,2,200,0.3
0.015406708,266,50,1,50,0.3
0.339717674,392,200,1,200,1.68
0.011613365,326,100,1,100,1.68
0.007799415,301,50,1,50,2.1
0.483045502,441,200,1,200,0.9
0.048737181,332,50,1,50,0.9
0.255842338,401,50,1,50,0.3
0.014431477,324,50,1,50,2.1
0.013875853,374,50,5,20,2.1
0.151897072,418,33,1,67,1.68
0.009773507,305,50,1,50,1.68
0.060788234,392,25,1,25,1.68
0.025273947,393,50,5,20,2.1
0.016898133,270,50,1,50,0.3
0.210798648,359,200,1,200,1.68
0.243309897,446,50,1,50,2.1
0.06055512,323,50,1,50,0.3
0.045153672,352,50,1,50,2.1
0.031876371,280,200,1,200,1.68
0.180816813,327,200,2,200,1.68
0.106494666,397,67,1,33,1.68
0.000745706,272,25,1,25,1.68
0.273268036,442,75,1,75,1.68
0.015612705,290,200,5,200,1.68
0.265408,450,200,2,200,1.68
0.055101057,366,67,1,33,1.68
0.006666248,306,67,1,33,1.68
0.468809136,444,200,1,200,0.9
0.238169123,342,200,2,200,1.68
0.079168292,324,200,0.5,200,1.68
0.231423795,361,200,1,200,0.9
0.103394246,373,50,1,50,1.68
0.009453374,304,50,1,50,1.68
0.379766931,387,200,1,200,0.9
-5.77E-05,266,50,1,90,1.68
0.000292575,300,50,1,90,1.68
0.035631702,343,50,1,50,1.68
0.065976554,376,50,1,50,2.1
0.009573653,310,50,1,50,2.1
0.022299714,313,100,1,100,0.9
0.001780848,264,50,1,50,1.68
0.067584172,417,10,1,10,1.68
0.342519507,434,200,1,200,1.68
0.001123073,254,50,1,50,1.68
0.000272824,303,50,1,90,1.68
0.173585442,398,50,1,50,1.68
0.001717182,302,25,1,25,1.68
0.369675682,402,200,0.5,200,1.68
0.073938672,378,33,1,67,1.68
0.001790551,280,33,1,67,1.68
0.000940003,302,10,1,10,1.68
0.095062295,433,10,1,10,1.68
0.165703701,397,100,1,100,1.68
0.008565426,285,100,1,100,0.9
0.026384981,326,75,1,75,1.68
0.000303054,273,10,1,10,1.68
0.009356668,329,33,1,67,1.68
0.000883422,256,67,1,33,1.68
0.010553689,290,100,1,100,0.9
0.301236688,427,50,1,50,0.9
0.013711785,315,50,1,50,1.68
0.001425871,260,50,1,50,2.1
0.008868768,319,100,1,100,1.68
0.009042758,352,10,1,10,1.68
0.101352769,376,100,1,100,1.68
0.162712254,445,50,1,50,2.1
0.006262849,293,50,1,50,2.1
0.207317832,392,50,1,50,0.9
0.100915076,436,10,1,10,1.68
0.000212374,277,50,5,20,2.1
0.110357903,379,100,1,100,1.68
0.001925432,342,50,1,90,1.68
0.027976703,404,50,1,90,1.68
0.01989544,334,67,1,33,1.68
0.009790723,279,200,2,200,0.3
0.00130496,257,50,1,50,2.1
0.220016988,396,50,1,50,0.9
0.022396864,267,200,2,200,1.68
0.002660546,346,50,1,90,1.68
0.281052136,355,200,2,200,1.68
0.075045194,304,200,1,200,1.68
0.00983525,354,10,1,10,1.68
0.13921885,362,50,1,50,0.3
0.19493532,409,50,1,50,2.1
0.439927828,429,200,0.5,200,1.68
0.007301344,261,200,1,200,0.9
0.001706454,263,50,1,50,1.68
0.426557484,422,200,0.5,200,1.68
0.010689878,299,75,1,75,1.68
0.090233416,341,50,1,50,0.3
0.15163324,421,50,1,50,2.1
0.042864339,379,25,1,25,1.68
0.006842813,309,100,1,100,1.68
0.011369693,277,200,0.5,200,1.68
0.005014386,289,50,1,50,1.68
0.16728586,434,67,1,33,1.68
0.009349943,281,50,1,50,0.9
0.000979455,259,67,1,33,1.68
0.001108707,250,50,1,50,2.1
0.082192338,382,33,1,67,1.68
0.035743151,320,200,2,200,0.3
0.258844028,348,200,2,200,1.68
0.066819383,308,200,1,200,0.9
0.036808646,281,200,2,200,1.68
0.356017137,414,200,2,200,1.68
0.025628136,332,50,1,50,1.68
0.004964295,299,67,1,33,1.68
0.223151615,397,50,1,50,0.9
0.001548496,261,75,1,75,1.68
0.004483457,309,33,1,67,1.68
0.111771608,400,67,1,33,1.68
0.025459995,341,67,1,33,1.68
0.02645669,352,50,1,50,2.1
0.041879215,428,50,5,20,2.1
0.144250262,390,100,1,100,1.68
-2.17E-05,265,50,5,20,2.1
0.004755565,298,67,1,33,1.68
0.002738229,290,33,1,67,1.68
0.046648012,360,67,1,33,1.68
0.243492417,445,50,1,50,2.1
0.01218173,312,50,1,50,1.68
0.022080154,327,200,5,200,1.68
0.092545622,373,100,1,100,1.68
0.27615,450,75,1,75,1.68
0.070413888,365,100,1,100,1.68
0.416600215,439,200,2,200,0.3
0.008212388,273,200,5,200,1.68
0.031629612,411,50,1,90,1.68
0.162676335,396,100,1,100,1.68
0.083592455,357,200,5,200,1.68
0.062432437,351,200,5,200,1.68
0.17477127,448,33,1,67,1.68
0.036781514,414,50,5,20,2.1
0.000748801,271,25,1,25,1.68
0.141709659,382,75,1,75,1.68
0.320488205,439,200,1,200,1.68
0.004406659,299,50,1,50,2.1
0.198179343,356,200,1,200,1.68
0.010250624,355,10,1,10,1.68
0.000880809,289,25,1,25,1.68
0.127030596,314,200,2,200,1.68
0.111611718,335,200,0.5,200,1.68
0.001211315,296,25,1,25,1.68
0.184521219,402,50,1,50,1.68
0.018501058,332,67,1,33,1.68
0.042561728,431,50,5,20,2.1
0.414123649,436,200,2,200,0.3
-1.62E-05,270,50,1,90,1.68
0.089157332,319,200,1,200,1.68
0.013262666,259,50,1,50,0.3
0.038924203,419,50,5,20,2.1
0.014099588,298,100,1,100,0.9
0.000127034,280,50,1,90,1.68
0.120045473,330,200,1,200,0.9
